article_name,price,odo,year,location,date,link
Nissan Sentra 1.8 B17 Fl Sr,72.900.000,45.000 Km,2019,Medellín - Antioquia,2022-05-12 11:13,https://carro.mercadolibre.com.co/MCO-892307426-nissan-sentra-2019-18-b17-fl-sr-_JM#position=23&search_layout=grid&type=item&tracking_id=cf346202-4150-47f4-bf29-195c636b366d
Nissan Sentra 1.8 B17 Fl Exclusive,70.000.000,35.000 Km,2019,Suba - Bogotá D.C.,2022-05-12 11:13,https://carro.mercadolibre.com.co/MCO-884059413-nissan-sentra-automatico-_JM#position=24&search_layout=grid&type=item&tracking_id=cf346202-4150-47f4-bf29-195c636b366d
Nissan Sentra 1.8,67.800.000,42.600 Km,2019,Medellín - Antioquia,2022-05-12 11:13,https://carro.mercadolibre.com.co/MCO-880053988-nissan-sentra-18-2019-_JM#position=25&search_layout=grid&type=item&tracking_id=cf346202-4150-47f4-bf29-195c636b366d
Nissan Sentra 1.8 B17 Fl Sr,66.900.000,43.000 Km,2019,Medellín - Antioquia,2022-05-12 11:13,https://carro.mercadolibre.com.co/MCO-868766689-nissan-sentra-sr-18-automatico-_JM#position=26&search_layout=grid&type=item&tracking_id=cf346202-4150-47f4-bf29-195c636b366d
Nissan Sentra 1.8 B17 Fl Sr,64.000.000,51.075 Km,2018,Suba - Bogotá D.C.,2022-05-12 11:13,https://carro.mercadolibre.com.co/MCO-885662281-nissan-sentra-_JM#position=27&search_layout=grid&type=item&tracking_id=cf346202-4150-47f4-bf29-195c636b366d
Nissan Sentra 1.8 B17 Fl Exclusive,64.000.000,26.000 Km,2018,Cali - Valle Del Cauca,2022-05-12 11:13,https://carro.mercadolibre.com.co/MCO-892685165-nissan-sentra-2018-_JM#position=28&search_layout=grid&type=item&tracking_id=cf346202-4150-47f4-bf29-195c636b366d
Nissan Sentra 1.8 B17 Fl Sense,63.300.000,45.000 Km,2019,Usaquén - Bogotá D.C.,2022-05-12 11:13,https://carro.mercadolibre.com.co/MCO-891088100-nissan-sentra-en-excelente-estado-_JM#position=29&search_layout=grid&type=item&tracking_id=cf346202-4150-47f4-bf29-195c636b366d
Nissan Sentra 1.8 B17 Fl Exclusive,63.000.000,59.000 Km,2018,Cali - Valle Del Cauca,2022-05-12 11:13,https://carro.mercadolibre.com.co/MCO-879059571-nissan-sentra-2018-18-b17-advance-_JM#position=30&search_layout=grid&type=item&tracking_id=cf346202-4150-47f4-bf29-195c636b366d
Nissan Sentra B17 [fl] Sense,62.900.000,27.660 Km,2018,Usaquén - Bogotá D.C.,2022-05-12 11:13,https://carro.mercadolibre.com.co/MCO-891805860-nissan-sentra-modelo-2019-id-42040-_JM#position=31&search_layout=grid&type=item&tracking_id=cf346202-4150-47f4-bf29-195c636b366d
Nissan Sentra 1.8 B17 Fl Sense,61.000.000,23.300 Km,2020,Chía - Cundinamarca,2022-05-12 11:13,https://carro.mercadolibre.com.co/MCO-889599410-nissan-sentra-2020-18-b17-fl-sense-_JM#position=32&search_layout=grid&type=item&tracking_id=cf346202-4150-47f4-bf29-195c636b366d
